no,device_id,pm25,pm10,temp,humi,reg_date
3321909,D0012,8.5,8.5,15.4,64.3,2023-03-16 01:00:42.845474
3321927,D0012,8.6,8.6,15.4,64.6,2023-03-16 01:01:42.857265
3321946,D0012,9.4,9.4,15.5,64.5,2023-03-16 01:02:42.862295
3321965,D0012,9.8,9.8,15.5,64.3,2023-03-16 01:03:42.865777
3321984,D0012,9.8,9.8,15.5,64.3,2023-03-16 01:04:42.86554
3322003,D0012,10.2,10.2,15.5,64.4,2023-03-16 01:05:42.869242
3322022,D0012,10.3,10.3,15.5,64.4,2023-03-16 01:06:42.869686
3322041,D0012,9.9,9.9,15.4,64.2,2023-03-16 01:07:41.874437
3322060,D0012,9.7,9.7,15.5,64.4,2023-03-16 01:08:42.879401
3322079,D0012,9.8,9.8,15.5,64.4,2023-03-16 01:09:42.88272
3322097,D0012,9.8,9.8,15.4,64.4,2023-03-16 01:10:42.891586
3322116,D0012,9.6,9.6,15.3,64.1,2023-03-16 01:11:42.891034
3322135,D0012,10.2,10.2,15.3,63.6,2023-03-16 01:12:42.905367
3322154,D0012,10.5,10.5,15.3,63.5,2023-03-16 01:13:42.899105
3322173,D0012,10.2,10.2,15.4,63.5,2023-03-16 01:14:42.897746
3322192,D0012,12.3,12.3,15.4,63.1,2023-03-16 01:15:42.91368
3322211,D0012,11.8,11.8,15.3,63.2,2023-03-16 01:16:42.906457
3322230,D0012,13.1,13.1,15.3,62.7,2023-03-16 01:17:42.906652
3322249,D0012,14.5,14.5,15.4,62.3,2023-03-16 01:18:42.913555
3322268,D0012,13.9,13.9,15.3,62.3,2023-03-16 01:19:42.931648
3322287,D0012,14.9,14.9,15.3,62.0,2023-03-16 01:20:42.913632
3322306,D0012,15.3,15.3,15.3,61.9,2023-03-16 01:21:42.924786
3322325,D0012,14.3,14.3,15.2,62.2,2023-03-16 01:22:42.923837
3322344,D0012,15.4,15.4,15.2,62.1,2023-03-16 01:23:42.918818
3322363,D0012,14.7,14.7,15.1,62.3,2023-03-16 01:24:42.923483
3322382,D0012,15.1,15.1,15.1,62.2,2023-03-16 01:25:42.934265
3322401,D0012,15.3,15.3,15.0,62.5,2023-03-16 01:26:42.93119
3322420,D0012,13.5,13.5,14.9,62.3,2023-03-16 01:27:42.936336
3322439,D0012,13.0,13.0,15.1,62.1,2023-03-16 01:28:42.932429
3322458,D0012,13.2,13.2,15.1,62.2,2023-03-16 01:29:42.932351
3322477,D0012,13.6,13.6,15.1,62.8,2023-03-16 01:30:41.94225
3322496,D0012,13.3,13.3,15.1,63.0,2023-03-16 01:31:42.937317
3322515,D0012,12.7,12.7,15.1,63.0,2023-03-16 01:32:42.945432
3322534,D0012,13.5,13.5,15.1,63.1,2023-03-16 01:33:42.946026
3322553,D0012,13.0,13.0,15.0,63.3,2023-03-16 01:34:42.947307
3322572,D0012,13.1,13.1,15.0,63.7,2023-03-16 01:35:42.957978
3322591,D0012,13.2,13.2,15.0,63.9,2023-03-16 01:36:42.955599
3322610,D0012,12.8,12.8,15.0,64.0,2023-03-16 01:37:42.959436
3322629,D0012,13.0,13.0,15.0,64.4,2023-03-16 01:38:42.967764
3322648,D0012,13.0,13.0,15.0,64.9,2023-03-16 01:39:42.959452
3322667,D0012,12.5,12.5,14.9,65.3,2023-03-16 01:40:42.966505
3322686,D0012,12.2,12.2,14.9,65.1,2023-03-16 01:41:42.974283
3322705,D0012,10.4,10.4,14.9,64.8,2023-03-16 01:42:42.975467
3322724,D0012,9.6,9.6,15.0,64.4,2023-03-16 01:43:42.982339
3322743,D0012,9.7,9.7,15.1,64.1,2023-03-16 01:44:42.974624
3322762,D0012,11.0,11.0,15.2,64.4,2023-03-16 01:45:42.981626
3322781,D0012,11.4,11.4,15.1,64.8,2023-03-16 01:46:42.989968
3322800,D0012,10.9,10.9,15.1,64.6,2023-03-16 01:47:42.983026
3322819,D0012,11.6,11.6,15.2,64.5,2023-03-16 01:48:42.994567
3322838,D0012,12.1,12.1,15.2,64.4,2023-03-16 01:49:42.991429
3322857,D0012,12.7,12.7,15.2,64.4,2023-03-16 01:50:42.993267
3322876,D0012,13.9,13.9,15.1,63.6,2023-03-16 01:51:42.998694
3322895,D0012,14.0,14.0,15.1,63.0,2023-03-16 01:52:42.994563
3322914,D0012,14.8,14.8,15.0,63.3,2023-03-16 01:53:43.006959
3322933,D0012,13.9,13.9,15.0,63.0,2023-03-16 01:54:43.004664
3322952,D0012,13.8,13.8,14.8,63.2,2023-03-16 01:55:43.025529
3322971,D0012,14.4,14.4,14.7,63.5,2023-03-16 01:56:43.021908
3322990,D0012,12.1,12.1,14.7,63.3,2023-03-16 01:57:43.023621
3323009,D0012,11.8,11.8,14.7,62.9,2023-03-16 01:58:43.023093
3323028,D0012,13.5,13.5,14.9,62.7,2023-03-16 01:59:43.026701
3323047,D0012,11.8,11.8,14.9,63.1,2023-03-16 02:00:43.027571
3323066,D0012,12.1,12.1,14.8,63.3,2023-03-16 02:01:43.030096
3323085,D0012,11.9,11.9,14.8,63.6,2023-03-16 02:02:43.035858
3323104,D0012,11.7,11.7,14.8,63.5,2023-03-16 02:03:43.041715
3323123,D0012,12.9,12.9,14.8,63.7,2023-03-16 02:04:43.042567
3323142,D0012,13.1,13.1,14.8,63.8,2023-03-16 02:05:43.045066
3323161,D0012,12.7,12.7,14.7,64.0,2023-03-16 02:06:43.047908
3323180,D0012,13.0,13.0,14.7,64.1,2023-03-16 02:07:43.057556
3323199,D0012,13.0,13.0,14.6,64.0,2023-03-16 02:08:43.059777
3323218,D0012,13.1,13.1,14.6,64.0,2023-03-16 02:09:43.056059
3323237,D0012,12.9,12.9,14.5,64.2,2023-03-16 02:10:43.064596
3323256,D0012,11.8,11.8,14.5,64.3,2023-03-16 02:11:43.1178
3323275,D0012,12.1,12.1,14.4,64.3,2023-03-16 02:12:43.066492
3323294,D0012,11.3,11.3,14.5,64.0,2023-03-16 02:13:43.075589
3323313,D0012,10.9,10.9,14.7,63.8,2023-03-16 02:14:43.070878
3323332,D0012,11.0,11.0,14.7,64.2,2023-03-16 02:15:43.078204
3323351,D0012,11.5,11.5,14.6,64.6,2023-03-16 02:16:43.084686
3323370,D0012,11.0,11.0,14.6,64.7,2023-03-16 02:17:43.083072
3323389,D0012,11.2,11.2,14.6,65.4,2023-03-16 02:18:43.08374
3323408,D0012,11.1,11.1,14.7,65.6,2023-03-16 02:19:43.091045
3323427,D0012,11.1,11.1,14.7,65.2,2023-03-16 02:20:43.094881
3323446,D0012,11.8,11.8,14.6,65.2,2023-03-16 02:21:43.101265
3323465,D0012,11.7,11.7,14.6,64.8,2023-03-16 02:22:43.101225
3323484,D0012,12.1,12.1,14.6,65.1,2023-03-16 02:23:43.105611
3323503,D0012,11.4,11.4,14.5,65.6,2023-03-16 02:24:43.112018
3323522,D0012,12.0,12.0,14.5,64.9,2023-03-16 02:25:43.113411
3323541,D0012,11.3,11.3,14.4,65.1,2023-03-16 02:26:43.118365
3323560,D0012,10.9,10.9,14.3,65.3,2023-03-16 02:27:43.119059
3323579,D0012,11.4,11.4,14.5,65.1,2023-03-16 02:28:43.113915
3323598,D0012,10.2,10.2,14.6,64.7,2023-03-16 02:29:43.116599
3323617,D0012,10.3,10.3,14.6,64.8,2023-03-16 02:30:43.122582
3323636,D0012,11.2,11.2,14.5,65.0,2023-03-16 02:31:43.12449
3323655,D0012,11.6,11.6,14.5,64.9,2023-03-16 02:32:43.134995
3323674,D0012,12.6,12.6,14.4,65.0,2023-03-16 02:33:43.138618
3323693,D0012,12.4,12.4,14.4,64.8,2023-03-16 02:34:43.135751
